Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy
Kaikki yhteensä,"","28,07","",""
"","","","",""
Honda,HR-V,"8,84",Ohjausnivelet ja -tangot,Renkaat ja vanteet
Toyota,COROLLA,"9,04",Jousitus ja iskunvaimennus,Bensiinimoottorin pakokaasumittaus
Suzuki,GRAND VITARA,"9,62","",""
Subaru,LEGACY,"9,91",Bensiinimoottorin pakokaasumittaus,Jousitus ja iskunvaimennus
Toyota,CELICA,"11,49","",""
Toyota,YARIS,"11,69",Käyttöjarru,Bensiinimoottorin pakokaasumittaus
Toyota,AVENSIS,"11,73",Jousitus ja iskunvaimennus,Käyttöjarrun dynamometritesti
Mercedes-Benz,SLK,"11,79","",""
Toyota,RAV4,"12,31",Bensiinimoottorin pakokaasumittaus,Käyttöjarru
Mitsubishi,COLT,"12,50","",""
Honda,CIVIC,"12,94",Bensiinimoottorin pakokaasumittaus,Etuakselisto
Toyota,LAND CRUISER,"13,89","",""
Mercedes-Benz,CLK,"15,27",Etuakselisto,Käyttöjarru
Saab,9-5,"15,85",Taka-akselisto,Seisontajarrun dynamometritesti
Mitsubishi,CARISMA,"16,03",Käyttöjarrun dynamometritesti,Etuakselisto
Honda,ACCORD,"16,86",Etuakselisto,Käyttöjarru
Honda,CR-V,"17,17",Etuakselisto,Taka-akselisto
Chevrolet,ALERO,"18,24","",""
Mitsubishi,PAJERO,"18,59",Etuakselisto,Dieselmoottorin pakokaasumittaus
Nissan,MICRA,"18,76",Käyttöjarrun dynamometritesti,Seisontajarrun dynamometritesti
Nissan,ALMERA,"19,12",Käyttöjarru,Bensiinimoottorin pakokaasumittaus
Nissan,TERRANO II,"19,55","",""
Jaguar,S-TYPE,"20,07",Etuakselisto,Bensiinimoottorin pakokaasumittaus
Mazda,2,"20,26",Seisontajarrun dynamometritesti,Käyttöjarru
Ford,FIESTA,"20,74",Jousitus ja iskunvaimennus,Taka-akselisto
Mitsubishi,LANCER,"21,10",Bensiinimoottorin pakokaasumittaus,Käyttöjarru
Volkswagen,NEW BEETLE,"21,13",Bensiinimoottorin pakokaasumittaus,Ohjausnivelet ja -tangot
