Merkki;Malli;Hylkäys %;Yleisin hylkäyssyy;Toiseksi yleisin hylkäyssyy;Kolmanneksi yleisin hylkäyssyy
Kaikki yhteensä;;3.47;;;
Seat;LEON;0.34;;;
Volvo;V60;0.68;;;
Ford;FOCUS C-MAX;0.77;;;
Opel;MERIVA;0.79;;;
Volvo;C70;0.81;;;
Nissan;JUKE;0.94;;;
Volvo;S60;0.96;;;
Toyota;COROLLA;0.98;;;
Volvo;XC60;1.02;;;
Volvo;C30;1.05;;;
Audi;Q5;1.09;;;
Audi;A4;1.1;;;
Honda;CR-V;1.12;;;
Toyota;AURIS;1.13;;;
Audi;A5;1.17;;;
Toyota;YARIS;1.21;;;
Volvo;S40;1.26;;;
Suzuki;SX4;1.27;;;
Opel;INSIGNIA;1.29;;;
Skoda;YETI;1.3;;;
Mitsubishi;ASX;1.35;;;
Mazda;3;1.36;;;
Toyota;PRIUS;1.4;;;
Mazda;6;1.46;;;
Audi;A1;1.46;;;
Nissan;MICRA;1.5;;;
Toyota;AVENSIS;1.51;;;
Toyota;AYGO;1.54;;;
Audi;A3;1.56;Bensiinimoottorin pakokaasumittaus;Renkaat ja vanteet;Turvavyöt ja -varusteet
Citroen;C1;1.58;;;
Hyundai;IX35;1.6;;;
Toyota;LAND CRUISER;1.67;;;
Kia;SOUL;1.67;;;
Mazda;2;1.7;;;
Kia;VENGA;1.77;;;
Mini;COOPER/ ONE;1.82;;;
Volvo;V50;1.85;Renkaat ja vanteet;Valmistajan kilpi;Käyttöjarru
Toyota;VERSO;1.9;;;
Skoda;FABIA;1.93;;;
Toyota;URBAN CRUISER;2.02;;;
Volkswagen;PASSAT;2.08;;;
Opel;CORSA;2.21;;;
Volkswagen;GOLF;2.25;Bensiinimoottorin pakokaasumittaus;Jousitus ja iskunvaimennus;Renkaat ja vanteet
Skoda;OCTAVIA;2.25;Bensiinimoottorin pakokaasumittaus;Renkaat ja vanteet;Turvavyöt ja -varusteet
BMW;1;2.26;;;
Suzuki;ALTO;2.27;;;
Ford;FUSION;2.31;;;
Saab;9-3;2.34;;;
Subaru;FORESTER;2.34;;;
Nissan;QASHQAI;2.36;;;
Nissan;TIIDA;2.38;;;
Subaru;LEGACY;2.44;;;
Toyota;RAV4;2.44;Jousitus ja iskunvaimennus;Käyttöjarru;Ajovakautusjärjestelmä
BMW;X5;2.47;;;
Volkswagen;SCIROCCO;2.48;;;
Volkswagen;POLO;2.52;;;
Hyundai;SONATA;2.56;;;
Audi;Q7;2.59;;;
Mitsubishi;LANCER;2.71;;;
Volkswagen;TIGUAN;2.72;;;
Ford;FIESTA;2.84;;;
